INDICATOR_ID,INDICATOR_LABEL_EN
10,"Official entrance age to early childhood educational development (years)"
10403,"Start month of the academic school year (tertiary education)"
10404,"End month of the academic school year (tertiary education)"
10405,"Start of the academic school year (tertiary education)"
10406,"End of the academic school year (tertiary education)"
13,"Theoretical duration of early childhood educational development (years)"
20060,"Enrolment in pre-primary education, both sexes (number)"
20061,"Enrolment in pre-primary education, female (number)"
20062,"Enrolment in primary education, both sexes (number)"
20063,"Enrolment in primary education, female (number)"
20064,"Enrolment in lower secondary education, both sexes (number)"
20065,"Enrolment in lower secondary education, female (number)"
20070,"Enrolment in upper secondary education, both sexes (number)"
20071,"Enrolment in upper secondary education, female (number)"
20076,"Enrolment in post-secondary non-tertiary education, both sexes (number)"
20077,"Enrolment in post-secondary non-tertiary education, female (number)"
20082,"Enrolment in secondary education, both sexes (number)"
20083,"Enrolment in secondary education, female (number)"
20160,"Teachers in pre-primary education, both sexes (number)"
20161,"Teachers in pre-primary education, female (number)"
20162,"Teachers in primary education, both sexes (number)"
20163,"Teachers in primary education, female (number)"
20164,"Teachers in lower secondary education, both sexes (number)"
20165,"Teachers in lower secondary education, female (number)"
20170,"Teachers in upper secondary education, both sexes (number)"
20171,"Teachers in upper secondary education, female (number)"
20176,"Teachers in post-secondary non-tertiary education, both sexes (number)"
20177,"Teachers in post-secondary non-tertiary education, female (number)"
20182,"Teachers in secondary education, both sexes (number)"
20183,"Teachers in secondary education, female (number)"
21500,"Repeaters in Grade 1 of primary education, both sexes (number)"
21501,"Repeaters in Grade 1 of primary education, female (number)"
21502,"Repeaters in Grade 2 of primary education, both sexes (number)"
21503,"Repeaters in Grade 2 of primary education, female (number)"
21504,"Repeaters in Grade 3 of primary education, both sexes (number)"
21505,"Repeaters in Grade 3 of primary education, female (number)"
21506,"Repeaters in Grade 4 of primary education, both sexes (number)"
21507,"Repeaters in Grade 4 of primary education, female (number)"
21508,"Repeaters in Grade 5 of primary education, both sexes (number)"
21509,"Repeaters in Grade 5 of primary education, female (number)"
21510,"Repeaters in Grade 6 of primary education, both sexes (number)"
21511,"Repeaters in Grade 6 of primary education, female (number)"
21512,"Repeaters in Grade 7 of primary education, both sexes (number)"
21513,"Repeaters in Grade 7 of primary education, female (number)"
21514,"Repeaters in grade unknown of primary education, both sexes (number)"
21515,"Repeaters in grade unknown of primary education, female (number)"
21516,"Repeaters in primary education, all grades, both sexes (number)"
21517,"Repeaters in primary education, all grades, female (number)"
25001,"Teachers in tertiary education ISCED 5 programmes, both sexes (number)"
25003,"Teachers in tertiary education programmes, both sexes (number)"
25005,"Teachers in tertiary education ISCED 5 programmes, female (number)"
25007,"Teachers in tertiary education programmes, female (number)"
25051,"Enrolment in tertiary education, ISCED 5 programmes, both sexes (number)"
25052,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)"
25053,"Enrolment in tertiary education, all programmes, both sexes (number)"
25055,"Enrolment in tertiary education, ISCED 5 programmes, female (number)"
25056,"Enrolment in tertiary education, ISCED 8 programmes, female (number)"
25057,"Enrolment in tertiary education, all programmes, female (number)"
26420,"Inbound internationally mobile students from Africa, both sexes (number)"
26421,"Africa: Students from Algeria, both sexes (number)"
26422,"Africa: Students from Angola, both sexes (number)"
26423,"Africa: Students from Benin, both sexes (number)"
26424,"Africa: Students from Botswana, both sexes (number)"
26425,"Africa: Students from Burkina Faso, both sexes (number)"
26426,"Africa: Students from Burundi, both sexes (number)"
26427,"Africa: Students from Cameroon, both sexes (number)"
26428,"Africa: Students from Cape Verde, both sexes (number)"
26429,"Africa: Students from the Central African Republic, both sexes (number)"
26430,"Africa: Students from Chad, both sexes (number)"
26431,"Africa: Students from Comoros, both sexes (number)"
26432,"Africa: Students from the Congo, both sexes (number)"
26433,"Africa: Students from Côte d'Ivoire, both sexes (number)"
26434,"Africa: Students from the Democratic Republic of the Congo, both sexes (number)"
26435,"Africa: Students from Djibouti, both sexes (number)"
26436,"Africa: Students from Egypt, both sexes (number)"
26437,"Africa: Students from Equatorial Guinea, both sexes (number)"
26438,"Africa: Students from Eritrea, both sexes (number)"
26439,"Africa: Students from Ethiopia, both sexes (number)"
26440,"Africa: Students from Gabon, both sexes (number)"
26441,"Africa: Students from the Gambia, both sexes (number)"
26442,"Africa: Students from Ghana, both sexes (number)"
26443,"Africa: Students from Guinea, both sexes (number)"
26444,"Africa: Students from Guinea-Bissau, both sexes (number)"
26445,"Africa: Students from Kenya, both sexes (number)"
26446,"Africa: Students from Lesotho, both sexes (number)"
26447,"Africa: Students from Liberia, both sexes (number)"
26448,"Africa: Students from Libya, both sexes (number)"
26449,"Africa: Students from Madagascar, both sexes (number)"
26450,"Africa: Students from Malawi, both sexes (number)"
26451,"Africa: Students from Mali, both sexes (number)"
26452,"Africa: Students from Mauritania, both sexes (number)"
26453,"Africa: Students from Mauritius, both sexes (number)"
26454,"Africa: Students from Morocco, both sexes (number)"
26455,"Africa: Students from Mozambique, both sexes (number)"
26456,"Africa: Students from Namibia, both sexes (number)"
26457,"Africa: Students from Niger, both sexes (number)"
26458,"Africa: Students from Nigeria, both sexes (number)"
26459,"Africa: Students from Rwanda, both sexes (number)"
26460,"Africa: Students from Sao Tome and Principe, both sexes (number)"
26461,"Africa: Students from Senegal, both sexes (number)"
26462,"Africa: Students from Seychelles, both sexes (number)"
26463,"Africa: Students from Sierra Leone, both sexes (number)"
26464,"Africa: Students from Somalia, both sexes (number)"
26465,"Africa: Students from South Africa, both sexes (number)"
26466,"Africa: Students from Sudan (pre-secession), both sexes (number)"
26467,"Africa: Students from Eswatini, both sexes (number)"
26468,"Africa: Students from Togo, both sexes (number)"
26469,"Africa: Students from Tunisia, both sexes (number)"
26470,"Africa: Students from Uganda, both sexes (number)"
26471,"Africa: Students from the United Republic of Tanzania, both sexes (number)"
26472,"Africa: Students from Zambia, both sexes (number)"
26473,"Africa: Students from Zimbabwe, both sexes (number)"
26474,"Africa: Students from unknown countries, both sexes (number)"
26476,"Caribbean and Central America: Students from Antigua and Barbuda, both sexes (number)"
26477,"Caribbean and Central America: Students from Aruba, both sexes (number)"
26478,"Caribbean and Central America: Students from Bahamas, both sexes (number)"
26479,"Caribbean and Central America: Students from Barbados, both sexes (number)"
26480,"Caribbean and Central America: Students from Belize, both sexes (number)"
26481,"North America: Students from Bermuda, both sexes (number)"
26482,"Caribbean and Central America: Students from the British Virgin Islands, both sexes (number)"
26483,"North America: Students from Canada, both sexes (number)"
26484,"Caribbean and Central America: Students from Costa Rica, both sexes (number)"
26485,"Caribbean and Central America: Students from Cuba, both sexes (number)"
26486,"Caribbean and Central America: Students from Dominica, both sexes (number)"
26487,"Caribbean and Central America: Students from Dominican Republic, both sexes (number)"
26488,"Caribbean and Central America: Students from El Salvador, both sexes (number)"
26489,"Caribbean and Central America: Students from Grenada, both sexes (number)"
26490,"Caribbean and Central America: Students from Guatemala, both sexes (number)"
26491,"Caribbean and Central America: Students from Haiti, both sexes (number)"
26492,"Caribbean and Central America: Students from Honduras, both sexes (number)"
26493,"Caribbean and Central America: Students from Jamaica, both sexes (number)"
26494,"Caribbean and Central America: Students from Mexico, both sexes (number)"
26495,"Caribbean and Central America: Students from the Netherlands Antilles, both sexes (number)"
26496,"Caribbean and Central America: Students from Nicaragua, both sexes (number)"
26497,"Caribbean and Central America: Students from Panama, both sexes (number)"
26498,"Caribbean and Central America: Students from Saint Kitts and Nevis, both sexes (number)"
26499,"Caribbean and Central America: Students from Saint Lucia, both sexes (number)"
26500,"Caribbean and Central America: Students from Saint Vincent and the Grenadines, both sexes (number)"
26501,"Caribbean and Central America: Students from Trinidad and Tobago, both sexes (number)"
26502,"Caribbean and Central America: Students from the Turks and Caicos Islands, both sexes (number)"
26503,"North America: Students from the United States, both sexes (number)"
26504,"North America: Students from unknown countries, both sexes (number)"
26506,"South America: Students from Argentina, both sexes (number)"
26507,"South America: Students from the Plurinational State of Bolivia, both sexes (number)"
26508,"South America: Students from Brazil, both sexes (number)"
26509,"South America: Students from Chile, both sexes (number)"
26510,"South America: Students from Colombia, both sexes (number)"
26511,"South America: Students from Ecuador, both sexes (number)"
26512,"South America: Students from Guyana, both sexes (number)"
26513,"South America: Students from Paraguay, both sexes (number)"
26514,"South America: Students from Peru, both sexes (number)"
26515,"South America: Students from Suriname, both sexes (number)"
26516,"South America: Students from Uruguay, both sexes (number)"
26517,"South America: Students from the Bolivarian Republic of Venezuela, both sexes (number)"
26518,"South America: Students from unknown countries, both sexes (number)"
26519,"Inbound internationally mobile students from Asia, both sexes (number)"
26520,"Asia: Students from Afghanistan, both sexes (number)"
26521,"Asia: Students from Armenia, both sexes (number)"
26522,"Asia: Students from Azerbaijan, both sexes (number)"
26523,"Asia: Students from Bahrain, both sexes (number)"
26524,"Asia: Students from Bangladesh, both sexes (number)"
26525,"Asia: Students from Bhutan, both sexes (number)"
26526,"Asia: Students from Brunei Darussalam, both sexes (number)"
26527,"Asia: Students from Cambodia, both sexes (number)"
26528,"Asia: Students from China, both sexes (number)"
26529,"Asia: Students from Cyprus, both sexes (number)"
26530,"Asia: Students from Timor-Leste, both sexes (number)"
26531,"Asia: Students from Georgia, both sexes (number)"
26532,"Asia: Students from Hong Kong, Special Administrative Region of China, both sexes (number)"
26533,"Asia: Students from India, both sexes (number)"
26534,"Asia: Students from Indonesia, both sexes (number)"
26535,"Asia: Students from the Islamic Republic of Iran, both sexes (number)"
26536,"Asia: Students from Iraq, both sexes (number)"
26537,"Asia: Students from Israel, both sexes (number)"
26538,"Asia: Students from Japan, both sexes (number)"
26539,"Asia: Students from Jordan, both sexes (number)"
26540,"Asia: Students from Kazakhstan, both sexes (number)"
26541,"Asia: Students from the Democratic People's Republic of Korea, both sexes (number)"
26542,"Asia: Students from the Republic of Korea, both sexes (number)"
26543,"Asia: Students from Kuwait, both sexes (number)"
26544,"Asia: Students from Kyrgyzstan, both sexes (number)"
26545,"Asia: Students from Lao People's Democratic Republic, both sexes (number)"
26546,"Asia: Students from Lebanon, both sexes (number)"
26547,"Asia: Students from Macao, Special Administrative Region of China, both sexes (number)"
26548,"Asia: Students from Malaysia, both sexes (number)"
26549,"Asia: Students from Maldives, both sexes (number)"
26550,"Asia: Students from Mongolia, both sexes (number)"
26551,"Asia: Students from Myanmar, both sexes (number)"
26552,"Asia: Students from Nepal, both sexes (number)"
26553,"Asia: Students from Oman, both sexes (number)"
26554,"Asia: Students from Pakistan, both sexes (number)"
26555,"Asia: Students from Palestine, both sexes (number)"
26556,"Asia: Students from the Philippines, both sexes (number)"
26557,"Asia: Students from Qatar, both sexes (number)"
26558,"Asia: Students from Saudi Arabia, both sexes (number)"
26559,"Asia: Students from Singapore, both sexes (number)"
26560,"Asia: Students from Sri Lanka, both sexes (number)"
26561,"Asia: Students from the Syrian Arab Republic, both sexes (number)"
26562,"Asia: Students from Tajikistan, both sexes (number)"
26563,"Asia: Students from Thailand, both sexes (number)"
26564,"Asia: Students from Turkey, both sexes (number)"
26565,"Asia: Students from Turkmenistan, both sexes (number)"
26566,"Asia: Students from the United Arab Emirates, both sexes (number)"
26567,"Asia: Students from Uzbekistan, both sexes (number)"
26568,"Asia: Students from Viet Nam, both sexes (number)"
26569,"Asia: Students from the Yemen, both sexes (number)"
26570,"Asia: Students from unknown countries, both sexes (number)"
26571,"Inbound internationally mobile students from Europe, both sexes (number)"
26572,"Europe: Students from Albania, both sexes (number)"
26573,"Europe: Students from Andorra, both sexes (number)"
26574,"Europe: Students from Austria, both sexes (number)"
26575,"Europe: Students from Belarus, both sexes (number)"
26576,"Europe: Students from Belgium, both sexes (number)"
26577,"Europe: Students from Bosnia and Herzegovina, both sexes (number)"
26578,"Europe: Students from Bulgaria, both sexes (number)"
26579,"Europe: Students from Croatia, both sexes (number)"
26580,"Europe: Students from the Czechia, both sexes (number)"
26581,"Europe: Students from Denmark, both sexes (number)"
26582,"Europe: Students from Estonia, both sexes (number)"
26583,"Europe: Students from Finland, both sexes (number)"
26584,"Europe: Students from France, both sexes (number)"
26585,"Europe: Students from Germany, both sexes (number)"
26586,"Europe: Students from Greece, both sexes (number)"
26587,"Europe: Students from the Holy See, both sexes (number)"
26588,"Europe: Students from Hungary, both sexes (number)"
26589,"Europe: Students from Iceland, both sexes (number)"
26590,"Europe: Students from Ireland, both sexes (number)"
26591,"Europe: Students from Italy, both sexes (number)"
26592,"Europe: Students from Latvia, both sexes (number)"
26593,"Europe: Students from Liechtenstein, both sexes (number)"
26594,"Europe: Students from Lithuania, both sexes (number)"
26595,"Europe: Students from Luxembourg, both sexes (number)"
26596,"Europe: Students from Malta, both sexes (number)"
26597,"Europe: Students from the Republic of Moldova, both sexes (number)"
26598,"Europe: Students from Monaco, both sexes (number)"
26599,"Europe: Students from the Netherlands, both sexes (number)"
26600,"Europe: Students from Norway, both sexes (number)"
26601,"Europe: Students from Poland, both sexes (number)"
26602,"Europe: Students from Portugal, both sexes (number)"
26603,"Europe: Students from Romania, both sexes (number)"
26604,"Europe: Students from the Russian Federation, both sexes (number)"
26605,"Europe: Students from San Marino, both sexes (number)"
26606,"Europe: Students from Slovakia, both sexes (number)"
26607,"Europe: Students from Slovenia, both sexes (number)"
26608,"Europe: Students from Spain, both sexes (number)"
26609,"Europe: Students from Sweden, both sexes (number)"
26610,"Europe: Students from Switzerland, both sexes (number)"
26611,"Europe: Students from North Macedonia, both sexes (number)"
26612,"Europe: Students from the Ukraine, both sexes (number)"
26613,"Europe: Students from the United Kingdom, both sexes (number)"
26614,"Europe: Students from Serbia, both sexes (number)"
26615,"Europe: Students from unknown countries, both sexes (number)"
26616,"Inbound internationally mobile students from Oceania, both sexes (number)"
26617,"Oceania: Students from Australia, both sexes (number)"
26618,"Oceania: Students from the Cook Islands, both sexes (number)"
26619,"Oceania: Students from Fiji, both sexes (number)"
26620,"Oceania: Students from Kiribati, both sexes (number)"
26621,"Oceania: Students from New Zealand, both sexes (number)"
26622,"Oceania: Students from Niue, both sexes (number)"
26623,"Oceania: Students from Palau, both sexes (number)"
26624,"Oceania: Students from Papua New Guinea, both sexes (number)"
26625,"Oceania: Students from Samoa, both sexes (number)"
26626,"Oceania: Students from the Solomon Islands, both sexes (number)"
26627,"Oceania: Students from Tonga, both sexes (number)"
26628,"Oceania: Students from Tuvalu, both sexes (number)"
26629,"Oceania: Students from Vanuatu, both sexes (number)"
26630,"Oceania: Students from unknown countries, both sexes (number)"
26631,"Inbound internationally mobile students from unknown continents, both sexes (number)"
26637,"Total inbound internationally mobile students, both sexes (number)"
26638,"Total inbound internationally mobile students, female (number)"
26640,"Europe: Students from Gibraltar, both sexes (number)"
26641,"Caribbean and Central America: Students from Anguilla, both sexes (number)"
26642,"Caribbean and Central America: Students from the Cayman Islands, both sexes (number)"
26643,"Caribbean and Central America: Students from Montserrat, both sexes (number)"
26644,"Oceania: Students from the Marshall Islands, both sexes (number)"
26645,"Oceania: Students from the Federated States of Micronesia, both sexes (number)"
26646,"Oceania: Students from Nauru, both sexes (number)"
26647,"Oceania: Students from Tokelau, both sexes (number)"
26648,"Inbound internationally mobile students from North America, both sexes (number)"
26651,"Caribbean and Central America: Students from unknown countries, both sexes (number)"
26652,"Europe: Students from Montenegro, both sexes (number)"
299902,"Official entrance age to pre-primary education (years)"
299905,"Official entrance age to primary education (years)"
299929,"Theoretical duration of pre-primary education (years)"
299932,"Theoretical duration of primary education (years)"
400,"Duration of compulsory education (years)"
40032,"Enrolment in early childhood educational development programmes, male (number)"
40033,"Enrolment in pre-primary education, male (number)"
40034,"Enrolment in early childhood education, male (number)"
40035,"Enrolment in primary education, male (number)"
40038,"Enrolment in lower secondary education, male (number)"
40041,"Enrolment in upper secondary education, male (number)"
40044,"Enrolment in secondary education, male (number)"
40047,"Enrolment in post-secondary non-tertiary education, male (number)"
40050,"Enrolment in early childhood educational development programmes, female (number)"
40051,"Enrolment in early childhood education, female (number)"
40054,"Enrolment in early childhood educational development programmes, both sexes (number)"
40055,"Enrolment in early childhood education, both sexes (number)"
401,"Official entrance age to compulsory education (years)"
403,"Start month of the academic school year (pre-primary to post-secondary non-tertiary education)"
404,"End month of the academic school year (pre-primary to post-secondary non-tertiary education)"
405,"Start of the academic school year (pre-primary to post-secondary non tertiary education)"
406,"End of the academic school year (pre-primary to post-secondary non tertiary education)"
41906,"Repeaters in Grade 1 of primary education, male (number)"
41907,"Repeaters in Grade 2 of primary education, male (number)"
41908,"Repeaters in Grade 3 of primary education, male (number)"
41909,"Repeaters in Grade 4 of primary education, male (number)"
41910,"Repeaters in Grade 5 of primary education, male (number)"
41911,"Repeaters in Grade 6 of primary education, male (number)"
41912,"Repeaters in Grade 7 of primary education, male (number)"
41913,"Repeaters in grade unknown of primary education, male (number)"
41914,"Repeaters in primary education, all grades, male (number)"
41915,"Repeaters in Grade 1 of lower secondary general education, male (number)"
41916,"Repeaters in Grade 2 of lower secondary general education, male (number)"
41917,"Repeaters in Grade 3 of lower secondary general education, male (number)"
41918,"Repeaters in Grade 4 of lower secondary general education, male (number)"
41919,"Repeaters in Grade 5 of lower secondary general education, male (number)"
41920,"Repeaters in Grade 6 of lower secondary general education, male (number)"
41921,"Repeaters in grade unknown of lower secondary general education, male (number)"
41922,"Repeaters in lower secondary general education, all grades, male (number)"
41924,"Repeaters in Grade 1 of lower secondary general education, female (number)"
41925,"Repeaters in Grade 2 of lower secondary general education, female (number)"
41926,"Repeaters in Grade 3 of lower secondary general education, female (number)"
41927,"Repeaters in Grade 4 of lower secondary general education, female (number)"
41928,"Repeaters in Grade 5 of lower secondary general education, female (number)"
41929,"Repeaters in Grade 6 of lower secondary general education, female (number)"
41930,"Repeaters in grade unknown of lower secondary general education, female (number)"
41931,"Repeaters in lower secondary general education, all grades, female (number)"
41933,"Repeaters in Grade 1 of lower secondary general education, both sexes (number)"
41934,"Repeaters in Grade 2 of lower secondary general education, both sexes (number)"
41935,"Repeaters in Grade 3 of lower secondary general education, both sexes (number)"
41936,"Repeaters in Grade 4 of lower secondary general education, both sexes (number)"
41937,"Repeaters in Grade 5 of lower secondary general education, both sexes (number)"
41938,"Repeaters in Grade 6 of lower secondary general education, both sexes (number)"
41939,"Repeaters in grade unknown of lower secondary general education, both sexes (number)"
41940,"Repeaters in lower secondary general education, all grades, both sexes (number)"
42096,"Teachers in early childhood educational development programmes, male (number)"
42097,"Teachers in pre-primary education, male (number)"
42099,"Teachers in primary education, male (number)"
42100,"Teachers in lower secondary education, male (number)"
42101,"Teachers in upper secondary education, male (number)"
42104,"Teachers in secondary education, male (number)"
42105,"Teachers in post-secondary non-tertiary education, male (number)"
42110,"Teachers in early childhood educational development programmes, female (number)"
42116,"Teachers in early childhood educational development programmes, both sexes (number)"
42614,"Enrolment in tertiary education, ISCED 5 programmes, male (number)"
42615,"Enrolment in tertiary education, ISCED 6 programmes, male (number)"
42617,"Enrolment in tertiary education, ISCED 7 programmes, male (number)"
42619,"Enrolment in tertiary education, ISCED 8 programmes, male (number)"
42620,"Enrolment in tertiary education, all programmes, male (number)"
42635,"Enrolment in tertiary education, ISCED 6 programmes, female (number)"
42637,"Enrolment in tertiary education, ISCED 7 programmes, female (number)"
42654,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)"
42656,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)"
42963,"Africa: Students from Algeria, male (number)"
42964,"Africa: Students from Angola, male (number)"
42965,"Africa: Students from Benin, male (number)"
42966,"Africa: Students from Botswana, male (number)"
42967,"Africa: Students from Burkina Faso, male (number)"
42968,"Africa: Students from Burundi, male (number)"
42969,"Africa: Students from Cape Verde, male (number)"
42970,"Africa: Students from Cameroon, male (number)"
42971,"Africa: Students from the Central African Republic, male (number)"
42972,"Africa: Students from Chad, male (number)"
42973,"Africa: Students from Comoros, male (number)"
42974,"Africa: Students from the Congo, male (number)"
42975,"Africa: Students from Côte d'Ivoire, male (number)"
42976,"Africa: Students from the Democratic Republic of the Congo, male (number)"
42977,"Africa: Students from Djibouti, male (number)"
42978,"Africa: Students from Egypt, male (number)"
42979,"Africa: Students from Equatorial Guinea, male (number)"
42980,"Africa: Students from Eritrea, male (number)"
42981,"Africa: Students from Ethiopia, male (number)"
42982,"Africa: Students from Gabon, male (number)"
42983,"Africa: Students from the Gambia, male (number)"
42984,"Africa: Students from Ghana, male (number)"
42985,"Africa: Students from Guinea, male (number)"
42986,"Africa: Students from Guinea-Bissau, male (number)"
42987,"Africa: Students from Kenya, male (number)"
42988,"Africa: Students from Lesotho, male (number)"
42989,"Africa: Students from Liberia, male (number)"
42990,"Africa: Students from Libya, male (number)"
42991,"Africa: Students from Madagascar, male (number)"
42992,"Africa: Students from Malawi, male (number)"
42993,"Africa: Students from Mali, male (number)"
42994,"Africa: Students from Mauritania, male (number)"
42995,"Africa: Students from Mauritius, male (number)"
42996,"Africa: Students from Morocco, male (number)"
42997,"Africa: Students from Mozambique, male (number)"
42998,"Africa: Students from Namibia, male (number)"
42999,"Africa: Students from Niger, male (number)"
43000,"Africa: Students from Nigeria, male (number)"
43001,"Africa: Students from Rwanda, male (number)"
43002,"Africa: Students from Sao Tome and Principe, male (number)"
43003,"Africa: Students from Senegal, male (number)"
43004,"Africa: Students from Seychelles, male (number)"
43005,"Africa: Students from Sierra Leone, male (number)"
43006,"Africa: Students from Somalia, male (number)"
43007,"Africa: Students from South Africa, male (number)"
43008,"Africa: Students from South Sudan, male (number)"
43009,"Africa: Students from Sudan, male (number)"
43010,"Africa: Students from Eswatini, male (number)"
43011,"Africa: Students from Togo, male (number)"
43012,"Africa: Students from Tunisia, male (number)"
43013,"Africa: Students from Uganda, male (number)"
43014,"Africa: Students from the United Republic of Tanzania, male (number)"
43015,"Africa: Students from Zambia, male (number)"
43016,"Africa: Students from Zimbabwe, male (number)"
43017,"Africa: Students from unknown countries, male (number)"
43018,"Inbound internationally mobile students from Africa, male (number)"
43019,"North America: Students from Bermuda, male (number)"
43020,"North America: Students from Canada, male (number)"
43021,"North America: Students from the United States, male (number)"
43022,"North America: Students from unknown countries, male (number)"
43023,"Inbound internationally mobile students from North America, male (number)"
43024,"Caribbean and Central America: Students from Anguilla, male (number)"
43025,"Caribbean and Central America: Students from Antigua and Barbuda, male (number)"
43026,"South America: Students from Argentina, male (number)"
43027,"Caribbean and Central America: Students from Aruba, male (number)"
43028,"Caribbean and Central America: Students from Bahamas, male (number)"
43029,"Caribbean and Central America: Students from Barbados, male (number)"
43030,"Caribbean and Central America: Students from Belize, male (number)"
43031,"South America: Students from the Plurinational State of Bolivia, male (number)"
43032,"South America: Students from Brazil, male (number)"
43033,"Caribbean and Central America: Students from the British Virgin Islands, male (number)"
43034,"Caribbean and Central America: Students from the Cayman Islands, male (number)"
43035,"South America: Students from Chile, male (number)"
43036,"South America: Students from Colombia, male (number)"
43037,"Caribbean and Central America: Students from Costa Rica, male (number)"
43038,"Caribbean and Central America: Students from Cuba, male (number)"
43040,"Caribbean and Central America: Students from Dominica, male (number)"
