iso3,year,GDP,logGDP,hdicode_x,region_x,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII Rank,Gender Inequality Index (value),"Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)","Maternal Mortality Ratio (deaths per 100,000 live births)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, total (millions)_x","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)",GII_Category,hdicode_y,region_y,"Expected Years of Schooling, female (years)","Expected Years of Schooling, male (years)",GDI Group,Gender Development Index (value),"Gross National Income Per Capita, female (2021 PPP$)","Gross National Income Per Capita, male (2021 PPP$)",HDI female (value),HDI male (value),"Life Expectancy at Birth, female (years)","Life Expectancy at Birth, male (years)","Mean Years of Schooling, female (years)","Mean Years of Schooling, male (years)","Population, total (millions)_y",GDI_gap,GDI_gap_abs,A woman can apply for a passport in the same way as a man (1=yes; 0=no),A woman can be head of household in the same way as a man (1=yes; 0=no),A woman can choose where to live in the same way as a man (1=yes; 0=no),A woman can get a job in the same way as a man (1=yes; 0=no),A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),A woman can open a bank account in the same way as a man (1=yes; 0=no),A woman can register a business in the same way as a man (1=yes; 0=no),A woman can sign a contract in the same way as a man (1=yes; 0=no),A woman can travel outside her home in the same way as a man (1=yes; 0=no),A woman can travel outside the country in the same way as a man (1=yes; 0=no),A woman can work at night in the same way as a man (1=yes; 0=no),A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),A woman can work in an industrial job in the same way as a man (1=yes; 0=no),A woman has the same rights to remarry as a man (1=yes; 0=no),Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no),Dismissal of pregnant workers is prohibited (1=yes; 0=no),Female and male surviving spouses have equal rights to inherit assets (1=yes; 0=no),Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),Law prohibits discrimination in employment based on gender (1=yes; 0=no),Men and married women have equal ownership rights to immovable property (1=yes; 0=no),Paid leave is available to fathers (1=yes; 0=no),Paid leave of at least 14 weeks available to mothers (1=yes; 0=no),Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),The age at which men and women can retire with full pension benefits is the same (1=yes; 0=no),The age at which men and women can retire with partial pension benefits is the same (1=yes; 0=no),The government administers 100% of maternity leave benefits (1=yes; 0=no),The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no),The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),The mandatory retirement age for men and women is the same (1=yes; 0=no),There are periods of absence due to child care accounted for in pension benefits (1=yes; 0=no),There is legislation on sexual harassment in employment (1=yes; 0=no),There is legislation specifically addressing domestic violence (1=yes; 0=no),There is no legal provision that requires a married woman to obey her husband (1=yes; 0=no),There is paid parental leave (1=yes; 0=no),Gender Inequality Index (value)_shifted
ALB,1990,2549.249860948165,7.843554422698159,Very High,ECA,15.828,,,45.22,50.78,32.87494214,58.16770871,67.01017958,3.277966,,,,Very High,ECA,11.15252018,11.98832989,,0.938,4379.297274,6853.746756,0.631116924,0.672706809,76.195,69.412,6.696722222,7.917258326,3.277966,0.062000000000000055,0.062000000000000055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
DZA,1990,7602.187256543697,8.93619128178248,High,AS,24.364,,,,,205.8197899,10.14717996,23.12388251,25.37581,3.157894737,96.84210526,,High,AS,,,,,,,,,68.242,67.088,2.50628564,5.286375175,25.37581,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
AGO,1990,3340.598481671303,8.113905256047962,Medium,SSA,145.432,,,,,1101.505788,,,11.6263595,9.545454545,90.45454545,,Medium,SSA,3.386804359,4.126055414,,,,,,,45.43,38.639,,,11.6263595,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
ATG,1990,12935.22404738873,9.467709415489738,Very High,LAC,78.37,,,,,58.02670034,,,0.0630665,11.11111111,88.88888889,,Very High,LAC,,,,,,,,,76.338,70.796,,,0.0630665,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
ARG,1990,7158.308491279519,8.876028987809923,Very High,LAC,70.303,,0.489,29.11,78.68,87.81426539,35.3129392,37.85187509,32.755901,22.79635258,77.20364742,MB,Very High,LAC,14.20767627,12.60815149,,0.971,9768.800005,23250.54519,0.717168971,0.738459882,74.878,68.347,8.001968668,8.256232255,32.755901,0.029000000000000026,0.029000000000000026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
ARM,1990,2760.249500133832,7.923076353224703,Very High,ECA,73.948,,,,,47.28271569,84.59943033,88.61153771,3.5521275,6.315789474,93.68421053,,Very High,ECA,,,,,,,,,71.461,63.824,9.620631305,9.996128678,3.5521275,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
AUS,1990,17381.22527248228,9.763145895326522,Very High,,22.426,,0.188,52.25,75.59,8.255919722,90.13559384,90.63980808,17.126298,20.53571429,79.46428571,VB,Very High,,17.38522549,17.47483011,,0.963,21216.08358,39937.72606,0.847824612,0.880585647,80.147,73.978,10.9858441,11.4939484,17.126298,0.03700000000000003,0.03700000000000003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,
AUT,1990,19382.96647479144,9.8721499426056,Very High,,22.525,,0.195,43.03,69.42,8.927032924,70.28472199,85.44281853,7.6796245,24.69635628,75.30364372,VB,Very High,,13.35937977,14.30070019,,0.941,30343.97876,63375.01425,0.803196843,0.853842377,78.869,72.227,9.630317004,10.84198992,7.6796245,0.05900000000000005,0.05900000000000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
AZE,1990,5253.928344414001,8.566731331860515,High,ECA,31.489,,,,,47.4907909,86.20246412,94.61661982,7.231077,12.0,88.0,,High,ECA,10.73402619,11.86095219,,,,,,,66.145,59.182,,,7.231077,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
BHS,1990,20152.35177899411,9.911076274162049,Very High,LAC,55.861,,0.374,64.55,79.18,53.26464512,71.30000305,71.08999634,0.2759445,19.64285714,80.35714286,B,Very High,LAC,11.551793,11.02998617,,0.998,25438.33361,38849.42561,0.76067088,0.762472698,74.634,67.587,10.05000019,9.970000267,0.2759445,0.0020000000000000018,0.0020000000000000018,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
