STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REGION,,LOCATION,,INCOME,,VARIABLE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MEASURE,,UNIT_MULT,,BASE_PER,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,HRV,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,CYP,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,MENA,,KWT,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,LVA,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,LTU,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,RUS,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,TTO,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,EAP,,AUS,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,AUT,,HIO,,FC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,AUT,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,BEL,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,BEL,,HIO,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,NA,,CAN,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,CZE,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,DNK,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,FIN,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,FRA,,HIO,,RP,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,FRA,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,FRA,,HIO,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,DEU,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,GRC,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,ISL,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,IRL,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,ITA,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,EAP,,JPN,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,LUX,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,NLD,,HIO,,RR,,2014,,0,,A,,,,,,,
