STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REGION,,LOCATION,,INCOME,,VAR,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MEASURE,,UNIT_MULT,,BASE_PER,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,DEU,,HIN,,RPI__2,,2019,,14.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,AUS,,HIN,,SIGI_2,,2019,,16.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,AUS,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,AUS,,HIN,,RPI__2,,2019,,12.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,AUS,,HIN,,RAPFR__2,,2019,,4.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,AUS,,HIN,,RCL__2,,2019,,23.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,AUS,,HIN,,SIGI_2,,2019,,16.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,AUS,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,AUS,,HIN,,RPI__2,,2019,,12.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,AUS,,HIN,,RAPFR__2,,2019,,4.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,AUS,,HIN,,RCL__2,,2019,,23.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,AUT,,HIN,,SIGI_2,,2019,,11.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,AUT,,HIN,,DF__2,,2019,,22.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,AUT,,HIN,,RPI__2,,2019,,7.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,AUT,,HIN,,RAPFR__2,,2019,,4,,A,,,,,,,
